nm_mes;nm_dia;nm_marca;nm_tipo_trecho;nm_sexo;nm_status_marital;nr_idade;fl_culpa_terceiros;nm_categoria_veiculo;nm_preco_veiculo;fl_fraude;nr_apolice;nm_cat_motorista;nr_outros_sinistros;nr_idade_veiculo;fl_testemunhas;nr_carros_envolvidos;nr_ano;nm_tipo_apolice
Setembro;Domingo;Chevrolet;Urbano;Mulher;Solteiro;19;0;Sedan;30K até 49K;0;6446;Desatento;1;3 até 5 anos;0;1 carro;2022;Apenas Casco
Setembro;Quarta;Chevrolet;Urbano;Homem;Solteiro;20;1;Sedan;30K até 49K;0;3184;Desatento;nenhum;3 até 5 anos;0;1 carro;2021;Apenas Casco
Novembro;Sábado;Chevrolet;Rural;Homem;Solteiro;21;0;Sedan;30K até 49K;0;2744;Desatento;1;3 até 5 anos;0;1 carro;2021;Apenas Casco
Agosto;Quinta;Chevrolet;Urbano;Homem;Casado;21;0;Sedan;30K até 49K;0;2677;Desatento;nenhum;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Novembro;Sábado;Chevrolet;Urbano;Homem;Solteiro;21;0;Esportivo;30K até 49K;0;6298;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Terceiro
Junho;Quinta;Chevrolet;Urbano;Homem;Solteiro;21;1;Sedan;30K até 49K;0;4187;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Abril;Sexta;Chevrolet;Urbano;Homem;Casado;21;1;Sedan;30K até 49K;0;10764;Desatento;mais do que 4;3 até 5 anos;0;1 carro;2022;Segurado + Terceiro
Maio;Sábado;Chevrolet;Urbano;Homem;Solteiro;21;1;Sedan;30K até 49K;0;6909;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Casco
Junho;Terça;Chevrolet;Rural;Homem;Solteiro;22;0;Esportivo;30K até 49K;0;10151;Desatento;mais do que 4;3 até 5 anos;0;1 carro;2022;Apenas Terceiro
Setembro;Sábado;Chevrolet;Urbano;Mulher;Solteiro;22;0;Sedan;30K até 49K;0;3206;Desatento;mais do que 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Julho;Sábado;Chevrolet;Urbano;Homem;Solteiro;22;0;Esportivo;30K até 49K;0;1215;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Abril;Sábado;Chevrolet;Urbano;Homem;Solteiro;22;1;Sedan;30K até 49K;0;5956;Desatento;1;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Janeiro;Sexta;Chevrolet;Urbano;Homem;Solteiro;22;1;Sedan;30K até 49K;0;12074;Desatento;nenhum;3 até 5 anos;0;1 carro;2023;Segurado + Terceiro
Agosto;Terça;Chevrolet;Urbano;Homem;Solteiro;22;1;Sedan;30K até 49K;0;5584;Desatento;1;3 até 5 anos;0;1 carro;2021;Apenas Casco
Janeiro;Sábado;Chevrolet;Urbano;Mulher;Solteiro;22;1;Sedan;30K até 49K;0;9673;Desatento;nenhum;3 até 5 anos;1;1 carro;2022;Apenas Casco
Outubro;Sexta;Chevrolet;Urbano;Homem;Solteiro;23;0;Sedan;30K até 49K;0;11365;Desatento;de 2 até 4;1 até 2 anos;0;1 carro;2023;Segurado + Terceiro
Novembro;Segunda;Chevrolet;Urbano;Homem;Casado;23;0;Sedan;30K até 49K;0;5828;Desatento;1;3 até 5 anos;0;1 carro;2021;Apenas Casco
Junho;Quinta;Chevrolet;Urbano;Mulher;Solteiro;23;0;Sedan;30K até 49K;0;5038;Desatento;nenhum;3 até 5 anos;0;1 carro;2021;Apenas Casco
Maio;Segunda;Chevrolet;Urbano;Mulher;Solteiro;23;0;Sedan;30K até 49K;0;10211;Desatento;nenhum;3 até 5 anos;0;1 carro;2022;Apenas Casco
Dezembro;Quinta;Chevrolet;Urbano;Homem;Solteiro;23;0;Esportivo;30K até 49K;0;9082;Desatento;mais do que 4;3 até 5 anos;0;1 carro;2022;Apenas Terceiro
Fevereiro;Segunda;Chevrolet;Urbano;Homem;Solteiro;23;0;Esportivo;30K até 49K;0;7643;Desatento;mais do que 4;3 até 5 anos;0;1 carro;2022;Apenas Terceiro
Janeiro;Sexta;Chevrolet;Urbano;Homem;Solteiro;23;0;Esportivo;30K até 49K;0;11954;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Março;Quarta;Chevrolet;Urbano;Homem;Solteiro;23;1;Sedan;30K até 49K;0;9570;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Casco
Julho;Sexta;Chevrolet;Urbano;Homem;Casado;23;1;Sedan;30K até 49K;0;9218;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Dezembro;Segunda;Chevrolet;Urbano;Homem;Solteiro;24;0;Sedan;30K até 49K;0;9129;Desatento;nenhum;3 até 5 anos;0;1 carro;2022;Segurado + Terceiro
Setembro;Terça;Chevrolet;Urbano;Mulher;Solteiro;24;0;Sedan;30K até 49K;0;9778;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Casco
Junho;Domingo;Chevrolet;Urbano;Homem;Solteiro;24;0;Esportivo;30K até 49K;0;3318;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Maio;Sábado;Chevrolet;Urbano;Homem;Solteiro;24;1;Esportivo;30K até 49K;0;9817;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Terceiro
Dezembro;Domingo;Chevrolet;Rural;Homem;Solteiro;25;1;Sedan;30K até 49K;0;8818;Desatento;1;3 até 5 anos;0;1 carro;2022;Apenas Casco
Janeiro;Segunda;Chevrolet;Rural;Homem;Solteiro;25;1;Sedan;30K até 49K;0;8240;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Casco
Maio;Domingo;Chevrolet;Urbano;Homem;Solteiro;25;0;Sedan;30K até 49K;1;3694;Desatento;nenhum;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Fevereiro;Sábado;Chevrolet;Urbano;Homem;Solteiro;25;1;Sedan;30K até 49K;0;9849;Desatento;1;3 até 5 anos;0;1 carro;2022;Apenas Casco
Junho;Quinta;Chevrolet;Rural;Homem;Casado;26;0;Sedan;30K até 49K;0;12694;Desatento;1;11 até 15 anos;0;1 carro;2023;Segurado + Terceiro
Setembro;Quarta;Chevrolet;Rural;Homem;Solteiro;26;0;Sedan;30K até 49K;0;4843;Desatento;1;11 até 15 anos;0;1 carro;2021;Apenas Casco
Agosto;Domingo;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;2926;Desatento;nenhum;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Setembro;Quinta;Chevrolet;Urbano;Homem;Solteiro;26;0;Sedan;30K até 49K;0;3330;Desatento;1;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Fevereiro;Sábado;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;7369;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Janeiro;Quinta;Chevrolet;Urbano;Mulher;Solteiro;26;0;Sedan;30K até 49K;1;9614;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Agosto;Segunda;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;13277;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Abril;Domingo;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;4234;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Março;Domingo;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;5565;Desatento;1;6 até 10 anos;0;1 carro;2021;Apenas Casco
Março;Domingo;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;7931;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Setembro;Sábado;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;8121;Desatento;1;6 até 10 anos;0;1 carro;2022;Apenas Casco
Março;Sábado;Chevrolet;Urbano;Homem;Solteiro;26;0;Sedan;30K até 49K;1;10733;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Abril;Segunda;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;8069;Desatento;1;11 até 15 anos;0;1 carro;2022;Apenas Casco
Setembro;Terça;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;8889;Desatento;1;11 até 15 anos;0;1 carro;2022;Apenas Casco
Outubro;Domingo;Chevrolet;Urbano;Homem;Solteiro;26;0;Sedan;30K até 49K;0;15312;Desatento;1;6 até 10 anos;0;1 carro;2023;Apenas Casco
Junho;Terça;Chevrolet;Urbano;Homem;Casado;26;0;Sedan;30K até 49K;0;14589;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2023;Apenas Casco
Dezembro;Sexta;Chevrolet;Urbano;Homem;Casado;26;0;Esportivo;30K até 49K;0;9567;Desatento;1;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Outubro;Terça;Chevrolet;Urbano;Homem;Casado;26;0;Esportivo;30K até 49K;0;11423;Desatento;nenhum;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Setembro;Terça;Chevrolet;Urbano;Mulher;Casado;26;0;Esportivo;30K até 49K;0;14674;Desatento;nenhum;11 até 15 anos;0;1 carro;2023;Apenas Terceiro
Julho;Domingo;Chevrolet;Urbano;Homem;Casado;26;0;Esportivo;30K até 49K;0;12845;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2023;Apenas Terceiro
Julho;Domingo;Chevrolet;Urbano;Homem;Casado;26;1;Sedan;30K até 49K;0;3133;Desatento;nenhum;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Setembro;Segunda;Chevrolet;Urbano;Homem;Casado;26;1;Sedan;30K até 49K;0;13007;Desatento;nenhum;11 até 15 anos;0;1 carro;2023;Segurado + Terceiro
Junho;Segunda;Chevrolet;Urbano;Homem;Solteiro;26;1;Sedan;30K até 49K;0;10069;Desatento;nenhum;11 até 15 anos;0;1 carro;2022;Apenas Casco
Setembro;Segunda;Chevrolet;Urbano;Homem;Casado;26;1;Sedan;30K até 49K;0;14651;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2023;Apenas Casco
Novembro;Terça;Chevrolet;Urbano;Mulher;Solteiro;26;1;Sedan;30K até 49K;0;12587;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2023;Apenas Casco
Abril;Quarta;Chevrolet;Urbano;Mulher;Casado;26;1;Esportivo;30K até 49K;0;5624;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2021;Apenas Terceiro
Abril;Sexta;Chevrolet;Rural;Homem;Casado;27;0;Esportivo;30K até 49K;0;4458;Desatento;1;11 até 15 anos;0;1 carro;2021;Apenas Terceiro
Dezembro;Domingo;Chevrolet;Rural;Homem;Solteiro;27;0;Esportivo;30K até 49K;0;9743;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Setembro;Quarta;Chevrolet;Rural;Homem;Casado;27;1;Sedan;30K até 49K;0;3190;Desatento;nenhum;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Maio;Segunda;Chevrolet;Rural;Homem;Solteiro;27;1;Sedan;30K até 49K;0;14488;Desatento;nenhum;11 até 15 anos;1;1 carro;2023;Apenas Casco
Julho;Quinta;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;0;2929;Desatento;nenhum;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Novembro;Terça;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;0;4330;Desatento;nenhum;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Dezembro;Segunda;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;567;Desatento;nenhum;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Agosto;Segunda;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;10605;Desatento;nenhum;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Outubro;Sábado;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;15094;Desatento;nenhum;3 até 5 anos;0;1 carro;2023;Segurado + Terceiro
Abril;Domingo;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;0;766;Desatento;1;6 até 10 anos;0;1 carro;2021;Apenas Casco
Abril;Quarta;Chevrolet;Urbano;Mulher;Solteiro;27;0;Sedan;30K até 49K;0;2913;Desatento;1;6 até 10 anos;0;1 carro;2021;Apenas Casco
Dezembro;Quinta;Chevrolet;Urbano;Mulher;Solteiro;27;0;Sedan;30K até 49K;0;4794;Desatento;de 2 até 4;11 até 15 anos;0;1 carro;2021;Apenas Casco
Setembro;Quarta;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;0;9773;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Casco
Dezembro;Sábado;Chevrolet;Urbano;Homem;Solteiro;27;0;Sedan;30K até 49K;0;9643;Desatento;de 2 até 4;11 até 15 anos;0;1 carro;2022;Apenas Casco
Novembro;Sábado;Chevrolet;Urbano;Mulher;Casado;27;0;Sedan;30K até 49K;0;14282;Desatento;nenhum;3 até 5 anos;0;1 carro;2023;Apenas Casco
Novembro;Sexta;Chevrolet;Urbano;Homem;Casado;27;0;Sedan;30K até 49K;1;15369;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2023;Apenas Casco
Fevereiro;Terça;Chevrolet;Urbano;Mulher;Casado;27;0;Sedan;30K até 49K;0;11956;Desatento;nenhum;11 até 15 anos;0;1 carro;2023;Apenas Casco
Março;Quarta;Chevrolet;Urbano;Mulher;Solteiro;27;0;Esportivo;30K até 49K;0;12981;Desatento;mais do que 4;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Maio;Quarta;Chevrolet;Urbano;Homem;Solteiro;27;0;Esportivo;30K até 49K;0;13258;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2023;Apenas Terceiro
Junho;Terça;Chevrolet;Urbano;Homem;Solteiro;27;1;Sedan;30K até 49K;0;14241;Desatento;nenhum;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Novembro;Segunda;Chevrolet;Urbano;Homem;Solteiro;27;1;Sedan;30K até 49K;0;15104;Desatento;nenhum;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Maio;Sexta;Chevrolet;Urbano;Homem;Solteiro;27;1;Sedan;30K até 49K;0;12484;Desatento;1;6 até 10 anos;0;1 carro;2023;Apenas Casco
Abril;Sábado;Chevrolet;Urbano;Homem;Casado;27;1;Esportivo;30K até 49K;0;1125;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Novembro;Quinta;Chevrolet;Urbano;Homem;Solteiro;27;1;Esportivo;30K até 49K;0;5907;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Maio;Domingo;Chevrolet;Rural;Mulher;Casado;28;0;Sedan;30K até 49K;0;12681;Desatento;nenhum;3 até 5 anos;0;1 carro;2023;Apenas Casco
Novembro;Sexta;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;1885;Desatento;1;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Novembro;Sexta;Chevrolet;Urbano;Homem;Solteiro;28;0;Sedan;30K até 49K;0;13018;Desatento;nenhum;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Novembro;Segunda;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;12770;Desatento;1;11 até 15 anos;0;1 carro;2023;Segurado + Terceiro
Novembro;Quinta;Chevrolet;Urbano;Homem;Casado;28;0;Sedan;30K até 49K;0;408;Desatento;mais do que 4;6 até 10 anos;0;1 carro;2021;Apenas Casco
Dezembro;Quinta;Chevrolet;Urbano;Mulher;Solteiro;28;0;Esportivo;30K até 49K;0;3653;Desatento;1;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Julho;Terça;Chevrolet;Urbano;Homem;Solteiro;28;0;Esportivo;30K até 49K;0;5512;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Março;Terça;Chevrolet;Urbano;Mulher;Solteiro;28;0;Esportivo;30K até 49K;0;7156;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2022;Apenas Terceiro
Abril;Domingo;Chevrolet;Urbano;Homem;Casado;28;1;Sedan;30K até 49K;0;7933;Desatento;1;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Outubro;Quinta;Chevrolet;Urbano;Homem;Solteiro;28;1;Sedan;30K até 49K;0;11200;Desatento;nenhum;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Maio;Domingo;Chevrolet;Urbano;Homem;Casado;28;1;Sedan;30K até 49K;0;14964;Desatento;1;6 até 10 anos;0;1 carro;2023;Segurado + Terceiro
Fevereiro;Domingo;Chevrolet;Urbano;Homem;Casado;28;1;Sedan;30K até 49K;0;2539;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2021;Apenas Casco
Agosto;Quinta;Chevrolet;Rural;Homem;Casado;29;0;Esportivo;30K até 49K;0;7197;Desatento;1;11 até 15 anos;0;1 carro;2022;Apenas Terceiro
Fevereiro;Terça;Chevrolet;Rural;Homem;Solteiro;29;1;Sedan;30K até 49K;0;1796;Desatento;de 2 até 4;11 até 15 anos;0;1 carro;2021;Apenas Casco
Outubro;Segunda;Chevrolet;Rural;Homem;Casado;29;1;Sedan;30K até 49K;0;9186;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Casco
Julho;Quinta;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;1905;Desatento;nenhum;3 até 5 anos;0;1 carro;2021;Segurado + Terceiro
Agosto;Terça;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;3415;Desatento;nenhum;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Outubro;Sexta;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;1;7522;Desatento;1;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
Maio;Quinta;Chevrolet;Urbano;Homem;Solteiro;29;0;Sedan;30K até 49K;0;7223;Desatento;de 2 até 4;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Junho;Terça;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;4380;Desatento;1;3 até 5 anos;0;1 carro;2021;Apenas Casco
Janeiro;Terça;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;2217;Desatento;de 2 até 4;11 até 15 anos;0;1 carro;2021;Apenas Casco
Março;Domingo;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;136;Desatento;1;11 até 15 anos;0;1 carro;2021;Apenas Casco
Janeiro;Segunda;Chevrolet;Urbano;Homem;Solteiro;29;0;Sedan;30K até 49K;0;253;Desatento;1;3 até 5 anos;0;2 carros;2021;Apenas Casco
Maio;Sábado;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;9016;Desatento;1;3 até 5 anos;0;1 carro;2022;Apenas Casco
Dezembro;Sexta;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;6341;Desatento;1;6 até 10 anos;0;1 carro;2022;Apenas Casco
Novembro;Sexta;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;10691;Desatento;1;6 até 10 anos;0;1 carro;2022;Apenas Casco
Fevereiro;Segunda;Chevrolet;Urbano;Homem;Solteiro;29;0;Sedan;30K até 49K;1;10255;Desatento;1;6 até 10 anos;0;1 carro;2022;Apenas Casco
Outubro;Sábado;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;14621;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2023;Apenas Casco
Setembro;Segunda;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;14522;Desatento;1;6 até 10 anos;0;1 carro;2023;Apenas Casco
Janeiro;Sábado;Chevrolet;Urbano;Mulher;Solteiro;29;0;Sedan;30K até 49K;0;11953;Desatento;nenhum;6 até 10 anos;0;1 carro;2023;Apenas Casco
Junho;Quarta;Chevrolet;Urbano;Homem;Solteiro;29;0;Sedan;30K até 49K;0;14629;Desatento;mais do que 4;6 até 10 anos;0;1 carro;2023;Apenas Casco
Março;Domingo;Chevrolet;Urbano;Homem;Casado;29;0;Sedan;30K até 49K;0;14451;Desatento;nenhum;11 até 15 anos;0;1 carro;2023;Apenas Casco
Março;Segunda;Chevrolet;Urbano;Homem;Casado;29;0;Esportivo;30K até 49K;0;3597;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Setembro;Terça;Chevrolet;Urbano;Mulher;Divorciado;29;0;Esportivo;30K até 49K;0;5805;Desatento;1;11 até 15 anos;0;1 carro;2021;Apenas Terceiro
Janeiro;Quinta;Chevrolet;Urbano;Homem;Solteiro;29;0;Esportivo;30K até 49K;0;7055;Desatento;nenhum;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Janeiro;Quarta;Chevrolet;Urbano;Homem;Solteiro;29;0;Esportivo;30K até 49K;0;8799;Desatento;mais do que 4;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Outubro;Sexta;Chevrolet;Urbano;Mulher;Casado;29;0;Esportivo;30K até 49K;0;8952;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2022;Apenas Terceiro
Agosto;Segunda;Chevrolet;Urbano;Homem;Casado;29;0;Esportivo;30K até 49K;0;11972;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2023;Apenas Terceiro
Dezembro;Quarta;Chevrolet;Urbano;Homem;Casado;29;0;Esportivo;30K até 49K;0;14770;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2023;Apenas Terceiro
Setembro;Segunda;Chevrolet;Urbano;Mulher;Casado;29;1;Sedan;30K até 49K;0;4725;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2021;Segurado + Terceiro
Outubro;Segunda;Chevrolet;Urbano;Mulher;Solteiro;29;1;Sedan;30K até 49K;0;11746;Desatento;nenhum;3 até 5 anos;0;1 carro;2023;Apenas Casco
Setembro;Terça;Chevrolet;Rural;Homem;Solteiro;30;0;Esportivo;30K até 49K;0;6196;Desatento;de 2 até 4;11 até 15 anos;0;2 carros;2022;Apenas Terceiro
Abril;Sábado;Chevrolet;Urbano;Homem;Casado;30;0;Sedan;30K até 49K;0;9271;Desatento;de 2 até 4;11 até 15 anos;0;1 carro;2022;Segurado + Terceiro
Julho;Sexta;Chevrolet;Urbano;Homem;Casado;30;0;Sedan;30K até 49K;0;13970;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2023;Segurado + Terceiro
Junho;Sexta;Chevrolet;Urbano;Homem;Solteiro;30;0;Sedan;30K até 49K;0;14611;Desatento;nenhum;11 até 15 anos;0;1 carro;2023;Segurado + Terceiro
Agosto;Segunda;Chevrolet;Urbano;Homem;Solteiro;30;0;Sedan;30K até 49K;0;14351;Desatento;1;6 até 10 anos;0;3 até 4 carros;2023;Segurado + Terceiro
Novembro;Sexta;Chevrolet;Urbano;Mulher;Casado;30;0;Sedan;30K até 49K;0;941;Desatento;mais do que 4;3 até 5 anos;0;1 carro;2021;Apenas Casco
Janeiro;Domingo;Chevrolet;Urbano;Homem;Solteiro;30;0;Sedan;30K até 49K;0;1252;Desatento;1;6 até 10 anos;0;1 carro;2021;Apenas Casco
Agosto;Sábado;Chevrolet;Urbano;Mulher;Solteiro;30;0;Sedan;30K até 49K;0;10012;Desatento;1;6 até 10 anos;0;1 carro;2022;Apenas Casco
Abril;Quinta;Chevrolet;Urbano;Homem;Casado;30;0;Sedan;30K até 49K;0;8900;Desatento;nenhum;11 até 15 anos;0;1 carro;2022;Apenas Casco
Fevereiro;Quinta;Chevrolet;Urbano;Homem;Solteiro;30;0;Sedan;30K até 49K;1;9997;Desatento;mais do que 4;6 até 10 anos;0;2 carros;2022;Apenas Casco
Março;Terça;Chevrolet;Urbano;Homem;Casado;30;0;Sedan;30K até 49K;0;14466;Desatento;mais do que 4;6 até 10 anos;0;1 carro;2023;Apenas Casco
Março;Quinta;Chevrolet;Urbano;Homem;Solteiro;30;0;Esportivo;30K até 49K;0;3239;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2021;Apenas Terceiro
Julho;Sexta;Chevrolet;Urbano;Homem;Casado;30;0;Esportivo;30K até 49K;0;4535;Desatento;1;6 até 10 anos;0;1 carro;2021;Apenas Terceiro
Dezembro;Terça;Chevrolet;Urbano;Homem;Casado;30;0;Esportivo;30K até 49K;0;282;Desatento;mais do que 4;11 até 15 anos;0;1 carro;2021;Apenas Terceiro
Julho;Sábado;Chevrolet;Urbano;Homem;Solteiro;30;0;Esportivo;30K até 49K;0;8850;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2022;Apenas Terceiro
Janeiro;Domingo;Chevrolet;Urbano;Mulher;Solteiro;30;0;Esportivo;30K até 49K;0;9819;Desatento;nenhum;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Julho;Quinta;Chevrolet;Urbano;Homem;Solteiro;30;0;Esportivo;30K até 49K;0;9416;Desatento;de 2 até 4;6 até 10 anos;0;1 carro;2022;Apenas Terceiro
Outubro;Quinta;Chevrolet;Urbano;Homem;Solteiro;30;0;Esportivo;30K até 49K;0;12542;Desatento;de 2 até 4;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Dezembro;Domingo;Chevrolet;Urbano;Homem;Casado;30;0;Esportivo;30K até 49K;0;14691;Desatento;nenhum;3 até 5 anos;0;1 carro;2023;Apenas Terceiro
Novembro;Segunda;Chevrolet;Urbano;Mulher;Solteiro;30;0;Esportivo;30K até 49K;0;12752;Desatento;de 2 até 4;6 até 10 anos;0;3 até 4 carros;2023;Apenas Terceiro
Dezembro;Domingo;Chevrolet;Urbano;Mulher;Casado;30;1;Sedan;30K até 49K;0;5183;Desatento;1;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Novembro;Sábado;Chevrolet;Urbano;Homem;Casado;30;1;Sedan;30K até 49K;0;14324;Desatento;de 2 até 4;11 até 15 anos;0;1 carro;2023;Segurado + Terceiro
Dezembro;Segunda;Chevrolet;Urbano;Homem;Solteiro;30;1;Sedan;30K até 49K;0;8115;Desatento;1;11 até 15 anos;0;1 carro;2022;Apenas Casco
Novembro;Domingo;Chevrolet;Urbano;Homem;Solteiro;30;1;Sedan;30K até 49K;0;15404;Desatento;1;6 até 10 anos;0;1 carro;2023;Apenas Casco
Março;Sábado;Chevrolet;Urbano;Homem;Casado;30;1;Esportivo;30K até 49K;0;12914;Desatento;1;6 até 10 anos;0;1 carro;2023;Apenas Terceiro
Fevereiro;Quarta;Chevrolet;Rural;Homem;Casado;31;0;Sedan;30K até 49K;1;999;Desatento;nenhum;11 até 15 anos;0;1 carro;2021;Segurado + Terceiro
Fevereiro;Quinta;Chevrolet;Rural;Homem;Casado;31;0;Sedan;30K até 49K;0;12902;Desatento;nenhum;11 até 15 anos;0;1 carro;2023;Apenas Casco
Março;Segunda;Chevrolet;Rural;Homem;Solteiro;31;0;Sedan;30K até 49K;0;12096;Desatento;1;6 até 10 anos;0;3 até 4 carros;2023;Apenas Casco
Dezembro;Segunda;Chevrolet;Rural;Homem;Solteiro;31;1;Sedan;30K até 49K;0;11301;Desatento;mais do que 4;6 até 10 anos;0;1 carro;2022;Segurado + Terceiro
